iter	Passed	Remaining
531	35501	31230
532	35570	31166
533	35647	31107
534	35715	31042
535	35783	30976
536	35840	30901
537	35893	30823
538	35960	30756
539	36028	30691
540	36084	30614
541	36152	30549
542	36213	30478
543	36272	30405
544	36340	30339
545	36401	30267
546	36456	30191
547	36533	30133
548	36590	30058
549	36644	29981
550	36724	29925
551	36788	29857
552	36853	29789
553	36929	29730
554	36992	29660
555	37047	29584
556	37117	29520
557	37178	29449
558	37231	29372
559	37300	29307
560	37360	29235
561	37418	29162
562	37508	29113
563	37578	29050
564	37647	28984
565	37705	28911
566	37764	28839
567	37818	28763
568	37885	28696
569	37959	28636
570	38018	28563
571	38082	28495
572	38161	28437
573	38219	28365
574	38281	28294
575	38357	28235
576	38411	28159
577	38468	28085
578	38538	28022
579	38601	27952
580	38681	27896
581	38751	27832
582	38842	27782
583	38903	27711
584	38977	27650
585	39034	27577
586	39085	27500
587	39170	27446
588	39233	27376
589	39308	27315
590	39377	27251
591	39433	27176
592	39488	27102
593	39566	27043
594	39624	26971
595	39686	26901
596	39759	26839
597	39818	26767
598	39895	26708
599	39962	26641
600	40028	26574
601	40085	26501
602	40154	26436
603	40224	26372
604	40282	26300
605	40357	26239
606	40433	26178
607	40499	26111
608	40576	26051
609	40633	25979
610	40685	25902
611	40757	25839
612	40825	25773
613	40883	25701
614	40953	25637
615	41021	25571
616	41073	25495
617	41148	25434
618	41215	25368
619	41270	25295
620	41342	25231
621	41407	25164
622	41466	25092
623	41543	25032
624	41615	24969
625	41686	24905
626	41758	24842
627	41824	24774
628	41879	24701
629	41954	24639
630	42017	24571
631	42071	24497
632	42146	24435
633	42200	24361
634	42256	24289
635	42335	24229
636	42389	24155
637	42447	24084
638	42527	24025
639	42586	23955
640	42657	23890
641	42745	23836
642	42813	23770
643	42880	23704
644	42967	23648
645	43036	23583
646	43106	23518
647	43175	23453
648	43236	23383
649	43296	23313
650	43376	23254
651	43437	23184
652	43511	23121
653	43582	23057
654	43648	22990
655	43741	22937
656	43813	22873
657	43878	22806
658	43944	22739
659	44017	22675
660	44084	22609
661	44167	22550
662	44236	22485
663	44315	22424
664	44386	22360
665	44453	22293
666	44519	22226
667	44580	22156
668	44662	22097
669	44726	22029
670	44803	21967
671	44877	21904
672	44939	21835
673	44999	21765
674	45078	21704
675	45138	21634
676	45203	21566
677	45282	21505
678	45348	21438
679	45426	21377
680	45523	21324
681	45592	21258
682	45668	21196
683	45743	21132
684	45812	21067
685	45881	21000
686	45957	20938
687	46018	20868
688	46083	20801
689	46164	20740
690	46228	20672
691	46301	20608
692	46379	20546
693	46441	20477
694	46503	20408
695	46596	20352
696	46675	20290
697	46763	20233
698	46839	20169
699	46908	20103
700	46969	20034
701	47046	19971
702	47117	19905
703	47187	19840
704	47263	19777
705	47329	19709
706	47405	19645
707	47484	19584
708	47552	19517
709	47614	19448
710	47695	19386
711	47767	19321
712	47847	19259
713	47933	19200
714	48001	19133
715	48079	19070
716	48157	19007
717	48224	18940
718	48287	18871
719	48374	18812
720	48446	18746
721	48525	18684
722	48612	18624
723	48680	18557
724	48758	18494
725	48829	18428
726	48892	18359
727	48956	18291
728	49054	18235
729	49137	18174
730	49221	18112
731	49299	18049
732	49366	17981
733	49442	17918
734	49507	17849
735	49569	17780
736	49647	17716
737	49723	17652
